Stock Name,Time Frame,Zone,Entry Price,Stop Loss,Legout Date,Validation Issue,Zone Perfection,Entry Date,Status,Diff,Qty,Tgt,Yahoo Symbol,Last Close Price,Highligh,Highlight
ACC,2 HR,DZ,1773.0,1761.5,7/24/2023,All Ok Zone,Perfect Zone,,,11.5,4.347826087,1830.5,ACC.NS,1852.7,,
ADANIENT,2 HR,DZ,1960.9,1944.2,5/22/2023,Legout Cover,Perfect Zone,,,16.700000000000045,2.994011976,2044.4,ADANIENT.NS,2247.2,,
ADANIPORTS,2 HR,DZ,693.3,684.15,5/22/2023,All Ok Zone,Perfect Zone,,,9.149999999999977,5.464480874,739.05,ADANIPORTS.NS,1517.8,,
APOLLOHOSP,2 HR,DZ,4897.3,4854.3,11-03-2023,MTF Not ok,Doubt Zone,,,43.0,1.162790698,5112.3,APOLLOHOSP.NS,7270.0,,
ASHOKLEY,2 HR,DZ,71.25,70.9,4/28/2023,No Issue 3 Boring,Perfect Zone,,,0.3499999999999943,142.8571429,73.0,ASHOKLEY.NS,163.06,,
BAJAJ_AUTO,2 HR,DZ,6475.8,6431.2,12/27/2023,No Issue 3 Boring,Doubt Zone,,,44.600000000000364,1.121076233,6698.8,BAJAJ-AUTO.NS,9018.5,,
BAJAJ_AUTO,2 HR,DZ,4865.4,4832.8,9/15/2023,Legout cover,Perfect Zone,,,32.599999999999454,1.533742331,5028.4,BAJAJ-AUTO.NS,9018.5,,
BAJAJ_AUTO,2 HR,SZ,8279.9,8309.2,7/25/2025,All Ok Zone,Perfect Zone,,,-29.30000000000109,-1.706484642,8133.4,BAJAJ-AUTO.NS,9018.5,,
BAJAJFINSV,2 HR,DZ,1363.5,1353.4,05-08-2023,All Ok Zone,Perfect Zone,,,10.099999999999909,4.95049505,1414.0,BAJAJFINSV.NS,2070.7,,
BANKBARODA,2 HR,SZ,295.35,300.7,06-04-2024,Minor Legout formation issue,Not Perfect,,,-5.349999999999966,-9.345794393,268.6,BANKBARODA.NS,300.1,Green,Green
BANKBARODA,2 HR,DZ,235.1,234.4,08-04-2025,Legout Formation / Wick jyda legout m,Doubt Zone,28/08/2025,SL HIT,0.6999999999999886,71.42857143,238.6,BANKBARODA.NS,300.1,,
BEL,2 HR,DZ,351.5,348.45,5/16/2025,Minor Legin TR Issue,Perfect Zone,,,3.0500000000000114,16.39344262,366.75,BEL.NS,412.25,,
BEL,2 HR,DZ,323.3,319.9,5/13/2025,Candle behind Legin,Not Perfect,,,3.400000000000034,14.70588235,340.3,BEL.NS,412.25,,
BEL,2 HR,DZ,212.7,209.75,04-02-2024,Minor UOC Size,Perfect Zone,,,2.9499999999999886,16.94915254,227.45,BEL.NS,412.25,,
BEL,2 HR,SZ,426.7,428.6,07-07-2025,"MTF Not Ok , UOC not gud looking",Doubt Zone,,,-1.900000000000034,-26.31578947,417.2,BEL.NS,412.25,,
SAIL,2 HR,DZ,118.7,118.3,01-09-2025,LEGOUT FORMATION MINOR ISSUE,Perfect Zone,,,0.4000000000000057,27.77777778,120.7,SAIL.NS,133.4,,
BHARATFORG,2 HR,SZ,1376.25,1388.7,12-12-2024,"Legout formation , 124 not visual",Not Perfect,,,-12.450000000000045,-4.016064257,1314.0,BHARATFORG.NS,1417.6,,
BHARTIARTL,1 HR,DZ,1466.9,1462.5,8/22/2024,All Ok Zone,Perfect Zone,,,4.400000000000091,11.36363636,1488.9,BHARTIARTL.NS,2097.6,,
BHARTIARTL,2 HR,DZ,844.0,839.5,6/22/2023,Legout Cover,Doubt Zone,,,4.5,11.11111111,866.5,BHARTIARTL.NS,2097.6,,
